Row #,Click Time,Transaction Time,Transaction ID,UID,UID2,MID,Merchant,PID,Product,Referrer,SR,VR,NVR,Status,Paid,Completed,UKey,Transaction Value,Drupal Processing Status
37,9/7/2013 0:00,9/7/2013 0:00,FCVW13090713670694,187,,,Freecharge,,,,3,3,3,Validated,,9/7/2013 0:00,FCVW13090713670694,10,
38,9/7/2013 1:01,9/7/2013 1:01,FCVW13090713673508,187,,,Freecharge,,,,3,3,3,Validated,,9/7/2013 1:01,FCVW13090713673508,50,
39,9/7/2013 3:46,9/7/2013 3:46,FCVW13090713682839,187,,,Freecharge,,,,3,3,3,Validated,,9/7/2013 3:46,FCVW13090713682839,100,
40,9/7/2013 14:38,9/7/2013 14:38,FCDW13090813715799,187,,,Freecharge,,,,3,3,3,Validated,,9/7/2013 14:38,FCDW13090813715799,301,
41,9/7/2013 15:11,9/7/2013 15:11,FCVW13090813717104,187,,,Freecharge,,,,3,3,3,Validated,,9/7/2013 15:11,FCVW13090813717104,22,
42,9/8/2013 2:56,9/8/2013 2:56,FCVW13090813731049,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 2:56,FCVW13090813731049,95,
43,9/8/2013 2:59,9/8/2013 2:59,FCVW13090813731248,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 2:59,FCVW13090813731248,250,
44,9/8/2013 3:41,9/8/2013 3:41,FCVW13090813733302,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 3:41,FCVW13090813733302,123,
45,9/8/2013 13:10,9/8/2013 13:10,FCVW13090813760101,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 13:10,FCVW13090813760101,150,
46,9/8/2013 14:35,9/8/2013 14:35,FCVW13090913764187,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:35,FCVW13090913764187,10,
47,9/8/2013 14:36,9/8/2013 14:36,FCVW13090913764247,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:36,FCVW13090913764247,10,
48,9/8/2013 14:37,9/8/2013 14:37,FCVW13090913764302,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:37,FCVW13090913764302,10,
49,9/8/2013 14:38,9/8/2013 14:38,FCVW13090913764337,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:38,FCVW13090913764337,10,
50,9/8/2013 14:38,9/8/2013 14:38,FCVW13090913764368,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:38,FCVW13090913764368,10,
51,9/8/2013 14:39,9/8/2013 14:39,FCVW13090913764409,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:39,FCVW13090913764409,10,
52,9/8/2013 14:48,9/8/2013 14:48,FCVW13090913764817,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 14:48,FCVW13090913764817,50,
53,9/8/2013 21:11,9/8/2013 21:11,FCVW13090913769188,187,,,Freecharge,,,,3,3,3,Validated,,9/8/2013 21:11,FCVW13090913769188,500,
